unshrubb	tempest@2564
unshunnable	othello@2699
unshunned	measureforemeasure@2310
unsifted	glossary@2205, hamlet@897
unsightly	kinglear@2297, glossary@1890
unsinew	hamlet@4673
unsisting	glossary@2233, measureforemeasure@2917
unskilful	hamlet@2777, merrywivesofwindsor@599, othello@553, various@9, 3kinghenryvi@4165
unskilfully	measureforemeasure@2432
unslipping	antonyandcleopatra@1330
unsmirched	hamlet@4429
unsoftening	glossary@2235
unsoil	measureforemeasure@1792
unsolicited	titusandronicus@2681, kinghenryviii@2195
unsorted	1kinghenryiv@1261
unsought	cymbeline@5440, comedyoferrors@208, twelfthnight@2194
unsound	twelfthnight@2961
unsounded	rapeoflucrece@2152, twogentlemenofverona@2391, 2kinghenryvi@1988
unspeak	macbeth@2974
unspeakable	comedyoferrors@101, titusandronicus@3662, titusandronicus@421, winterstale@124, winterstale@2305
unspeaking	cymbeline@5014
unsphere	winterstale@236
unspoke	kinglear@422
unspoken	cymbeline@4961
unspotted	periclesprinceoftyre@210, kinghenryv@2854, 2kinghenryvi@2049, kinghenryviii@4640, rapeoflucrece@1010, 1kinghenryvi@3930
unsquared	troilusandcressida@945
unstable	coriolanus@2817
unstaid	twelfthnight@1464, twogentlemenofverona@1682, kingrichardii@966
unstain	romeoandjuliet@3569, rapeoflucrece@170, winterstale@2739, comedyoferrors@823
unstained	kingjohn@469, sonnets@1199, 2kinghenryiv@4310, rapeoflucrece@490
unstanched	tempest@154, 3kinghenryvi@1969, glossary@2234
unstate	antonyandcleopatra@3614, kinglear@675
unsteadfast	1kinghenryiv@745
unstooping	kingrichardii@238
unstringed	kingrichardii@659
unstuff	romeoandjuliet@1661
unsubstantial	romeoandjuliet@4449, kinglear@3580
unsuitable	allswellthatendswell@269, twelfthnight@1935
unsuiting	othello@3525
unsullied	loveslabourslost@3444
unsunn	cymbeline@2053
unsure	kingjohn@1569, twelfthnight@1214, hamlet@4200, othello@2531, 2kinghenryiv@932, macbeth@3526
unsured	kingjohn@1050
unsuspected	kingrichardiii@3149, tamingoftheshrew@1034
unsway	kingrichardiii@4838, sonnets@2408
unswayable	coriolanus@5628
unswear	kingjohn@1528, othello@3443
unswept	coriolanus@2329, sonnets@940, merrywivesofwindsor@4167
unsworn	measureforemeasure@591
untainted	measureforemeasure@2196, sonnets@334, rapeoflucrece@2072, rapeoflucrece@2028, kingrichardiii@2352, kingrichardiii@3286, 2kinghenryvi@2719
untalk	romeoandjuliet@2591
untamed	glossary@2226
untangle	twelfthnight@1123
untangled	romeoandjuliet@933
untasted	troilusandcressida@1922
untaught	romeoandjuliet@4652, 1kinghenryiv@570, measureforemeasure@1609, 2kinghenryvi@3188, cymbeline@3621
untempering	glossary@2235, kinghenryv@4511
untender	cymbeline@2106, cymbeline@2507, kinglear@224
untent	troilusandcressida@1993
untented	kinglear@1329, glossary@2236
unthankful	1kinghenryiv@676
unthankfulness	romeoandjuliet@2811, periclesprinceoftyre@768, allswellthatendswell@344, kingrichardiii@2013
unthink	kinghenryviii@2054
unthought	1kinghenryiv@2750, twelfthnight@3874, winterstale@3339
unthread	kingjohn@3332
unthrift	merchantofvenice@3466, timonofathens@3077, sonnets@162
unthrifts	sonnets@234, kingrichardii@1734
unthrifty	kingrichardii@3449, merchantofvenice@721, sonnets@69, winterstale@4304
untidy	loverscomplaint@120
untie	macbeth@2444, cymbeline@4636, tamingoftheshrew@1294, tempest@3255, troilusandcressida@1897, antonyandcleopatra@5877, twelfthnight@1124
untied	asyoulikeit@2291, periclesprinceoftyre@2660
